TRACE: 0.9143214574343509
REF: VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=1.0, volat=1.3104432919128775]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.5000000000000013, timeMuMult=1.6999999999999997, volat=1.3557990500368868]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.3999999999999995, volat=1.3565092864645312]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.5999999999999996, volat=1.3579735403000166]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=0.8999999999999992, volat=1.3581969054307428]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.9, volat=1.3584198638462563]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.7999999999999998, volat=1.363377569948088]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.3999999999999995, volat=1.3634755791592421]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.6999999999999997, volat=1.3659141496165104]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.7999999999999993, volat=1.367188330715794]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.2999999999999994, volat=1.36873664853577]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.8999999999999992, volat=1.371290020240725]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.6999999999999993, volat=1.372612700091996]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.6999999999999997, volat=1.376368801106451]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.100000000000001, timeMuMult=1.4999999999999996, volat=1.3800482041722832]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.6999999999999997, volat=1.3836508387681359]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.9, volat=1.3837548022845403]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.0, timeMuMult=0.6999999999999993, volat=1.3838198932550754]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.8000000000000007, timeMuMult=1.1999999999999993, volat=1.3840145080179371]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.6000000000000005, timeMuMult=1.1999999999999993, volat=1.3861959093088478]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.1999999999999993, volat=1.386261044966137]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.2999999999999994, volat=1.3868351120418132]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.4999999999999996, volat=1.388169530198999]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.4000000000000012, timeMuMult=1.5999999999999996, volat=1.3884484698979196]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.6000000000000014, timeMuMult=1.4999999999999996, volat=1.3884774877301198]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.2000000000000002, timeMuMult=0.9999999999999992, volat=1.3896355224003067]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.000000000000001, timeMuMult=1.4999999999999996, volat=1.3908422479121743]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.7000000000000015, timeMuMult=1.9, volat=1.3959120052906921]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.7000000000000006, timeMuMult=1.0999999999999992, volat=1.397453374706137]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=2.200000000000001, timeMuMult=1.7999999999999998, volat=1.3979501989114085]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.9000000000000008, timeMuMult=1.4999999999999996, volat=1.3986744184723405]
VolatPOJO [priceMuMult=1.0, priceSigmaMult=1.1, timeMuMult=0.6999999999999993, volat=1.4062668968121912]
